system:index,date,site,u_component_of_wind_10m,v_component_of_wind_10m,wind_speed,.geo,temp_c,pressure_pa,met_rain_mm
20240101_00000000000000000000,2024-01-01,"1029 ETHEL ST, CALEXICO HIGH SCHOOL",1.244937260945638,-0.6979525883992513,1.4272374011859563,"{""type"":""Point"",""coordinates"":[-115.4871589216076,32.677059485032586]}",12.232321039835654,101959.83561197916,0.020015239613258014
20240101_00000000000000000001,2024-01-01,1061-A Leesville Ave,0.5148754119873047,-0.0911410649617513,0.5228798940401695,"{""type"":""Point"",""coordinates"":[-91.17921675794754,30.462246287291286]}",11.846985753377282,102085.83561197916,1.964050531285
20240101_00000000000000000002,2024-01-01,1100 21st Street,-0.8442351023356119,-0.7196404139200846,1.1093309845860666,"{""type"":""Point"",""coordinates"":[-122.28293594548441,37.81489814622768]}",9.078105545043968,100335.33561197916,1.434955000775
20240101_00000000000000000003,2024-01-01,1130 EASTWAY DRIVE,1.794802983601888,-0.0659742355346679,1.796015130699244,"{""type"":""Point"",""coordinates"":[-80.77890756111357,35.241064886269236]}",6.383769607543968,99260.46061197916,0.000852346317969932
20240101_00000000000000000004,2024-01-01,1250 NORTH 1400 WEST,-1.175594965616862,0.142643928527832,1.1842173844060744,"{""type"":""Point"",""coordinates"":[-111.93144498698354,40.79410382385383]}",-3.7120962778727176,85537.33561197917,0.000852346317969932
20240101_00000000000000000005,2024-01-01,"128 S 'H' ST, LOMPOC",-0.7589486440022787,-0.511958122253418,0.9154802909807196,"{""type"":""Point"",""coordinates"":[-120.45766981577214,34.63795809148752]}",11.254049555460654,99088.7939453125,0.11572539796134151
20240101_00000000000000000006,2024-01-01,"14360 ARROW BLVD., FONTANA",-0.3467782338460286,-1.1388909022013347,1.1905156994287565,"{""type"":""Point"",""coordinates"":[-117.49187265501371,34.099717839730275]}",9.382793045043968,96120.6689453125,0.011342763798438682
20240101_00000000000000000007,2024-01-01,158B JACKSON ST,-0.410763422648112,-0.6189120610555013,0.7428180993389701,"{""type"":""Point"",""coordinates"":[-121.89490051271247,37.34878831311098]}",10.881653722127282,101499.25227864584,0.922429561512672
20240101_00000000000000000008,2024-01-01,"1630 N MAIN ST, LOS ANGELES",-0.2433846791585286,-0.8868563969930013,0.9196468729553252,"{""type"":""Point"",""coordinates"":[-118.22744150568907,34.0654451890335]}",11.797994867960654,100869.5439453125,0.0015974043776623148
20240101_00000000000000000009,2024-01-01,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,-1.260616938273112,-1.038447380065918,1.6332568769874642,"{""type"":""Point"",""coordinates"":[-112.04599037484448,33.45829844869736]}",9.940654373168968,97337.83561197916,0.000852346317969932
20240101_0000000000000000000a,2024-01-01,"1675 SOUTH 600 EAST, SALT LAKE CITY",-1.175594965616862,0.142643928527832,1.1842173844060744,"{""type"":""Point"",""coordinates"":[-111.87298617217289,40.734119996482875]}",-3.7120962778727176,85537.33561197917,0.000852346317969932
20240101_0000000000000000000b,2024-01-01,1810 N 16TH STREET,1.4449698130289714,2.714848518371582,3.075441470467184,"{""type"":""Point"",""coordinates"":[-100.76830845473447,46.825350135713116]}",-3.813496017456032,95680.5439453125,0.011640787022315637
20240101_0000000000000000000c,2024-01-01,"1865 D RUMRILL BLVD, San Pablo",-0.5731779734293619,-0.7890170415242513,0.9752337571271168,"{""type"":""Point"",""coordinates"":[-122.35685446364737,37.96055022303744]}",9.247946039835654,101089.12727864584,1.0008990763594
20240101_0000000000000000000d,2024-01-01,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,0.5907217661539713,-0.0818026860555013,0.5963588554335066,"{""type"":""Point"",""coordinates"":[-73.87795372068912,40.86783060067151]}",4.101380284627282,101144.08561197916,0.2715170382430188
20240101_0000000000000000000e,2024-01-01,2105 BROADWAY,1.431562423706055,0.8509976069132487,1.665403224429216,"{""type"":""Point"",""coordinates"":[-104.9876391854355,39.75139209261712]}",-0.40480461120603195,82799.83561197917,0.000852346317969932
20240101_0000000000000000000f,2024-01-01,2401 HARTMAN STREET  MATH & SCIENCE CTR,1.1908194224039714,0.015324592590332,1.190918024010296,"{""type"":""Point"",""coordinates"":[-77.40007724707759,37.55676078624371]}",4.795227940877282,101096.62727864584,0.2876400946547619
20240101_00000000000000000010,2024-01-01,250 WM. HOWARD TAFT,2.1056346893310547,-0.8625644048055013,2.2754592497673425,"{""type"":""Point"",""coordinates"":[-84.50388897172643,39.12895955386975]}",1.158183670043968,99328.33561197916,0.3167122601439587
20240101_00000000000000000011,2024-01-01,"2500 1ST STREET, N.W. WASHINGTON DC",1.093793869018555,-0.2001905441284179,1.1119628059701507,"{""type"":""Point"",""coordinates"":[-77.0123450331773,38.922449665882574]}",3.1658334096272824,101059.58561197916,1.6787528990676
20240101_00000000000000000012,2024-01-01,266-298 Spruce Street,-0.0540943145751953,-0.1237134933471679,0.1350230473123753,"{""type"":""Point"",""coordinates"":[-75.1247852617484,39.9346254731053]}",4.318990961710654,101184.62727864584,0.452446937458717
20240101_00000000000000000013,2024-01-01,"2730 CANNONS LANE, BOWMAN FIELD",1.7816397349039714,-0.9152377446492512,2.002972859082055,"{""type"":""Point"",""coordinates"":[-85.66722384555992,38.22644195975335]}",1.3823861440022824,100269.96061197916,0.2330422400405041
20240101_00000000000000000014,2024-01-01,2956-A TREAT BOULEVARD,-0.5562915802001953,-0.577631950378418,0.8019470009293665,"{""type"":""Point"",""coordinates"":[-122.02577512863112,37.93650675015726]}",8.714580154418968,99319.83561197916,1.6196846960951001
